Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,130,273,203.0,309.0,237,314,369.0,365,157,316,177,273,180.0,118,187,325,91,50,182.0,309,322,273,267.0,302,348.0,104.0,308.0,240,257,277.0
01:00:00,140,197,297.0,327.0,320,243,363.0,88,133,329,150,213,153.0,113,127,342,65,67,235.0,329,340,290,302.0,253,333.0,123.0,310.0,230,312,302.0
02:00:00,112,280,217.0,351.0,325,173,374.0,78,127,359,183,110,122.0,103,143,500,96,65,,353,357,312,307.0,220,308.0,200.0,294.0,287,306,297.0
03:00:00,100,167,187.0,314.0,324,167,375.0,99,327,348,150,105,103.0,150,111,376,44,51,210.0,319,385,324,325.0,211,302.0,187.0,293.0,237,257,250.0
04:00:00,125,163,207.0,316.0,312,250,395.0,273,314,331,123,90,88.0,101,112,230,46,45,198.0,308,340,327,340.0,182,250.0,157.0,204.0,270,250,
05:00:00,112,243,250.0,310.0,322,310,407.0,302,325,325,100,91,,75,99,111,42,50,217.0,197,315,308,328.0,152,223.0,257.0,138.0,217,233,217.0
06:00:00,167,323,329.0,318.0,315,321,368.0,253,336,325,100,270,90.0,91,113,90,46,45,223.0,200,329,312,318.0,171,207.0,163.0,112.0,197,163,177.0
07:00:00,217,353,320.0,342.0,335,304,399.0,243,293,333,98,310,98.0,120,123,83,49,52,150.0,302,329,315,312.0,187,213.0,213.0,128.0,187,163,187.0
08:00:00,320,367,,395.0,355,312,440.0,293,243,333,170,290,129.0,126,167,68,58,60,197.0,311,357,339,331.0,197,180.0,200.0,,220,223,243.0
09:00:00,312,408,408.0,383.0,349,318,368.0,325,203,297,203,187,267.0,167,193,61,61,65,207.0,308,355,370,335.0,257,213.0,307.0,255.0,273,333,309.0
10:00:00,273,332,307.0,363.0,336,325,315.0,342,127,197,243,213,170.0,240,237,72,62,80,90.0,311,280,398,315.0,257,223.0,257.0,283.0,287,309,
11:00:00,167,293,227.0,302.0,307,335,312.0,348,123,156,220,140,177.0,107,217,79,58,91,103.0,163,200,342,,223,237.0,170.0,279.0,243,293,
12:00:00,153,268,230.0,265.0,220,470,,348,162,250,250,220,163.0,113,157,80,63,89,94.0,103,116,183,180.0,250,315.0,163.0,159.0,223,267,
13:00:00,137,258,164.0,163.0,157,327,310.0,340,119,264,177,193,147.0,112,113,85,69,96,82.0,101,101,142,153.0,243,267.0,213.0,178.0,203,217,
14:00:00,141,270,168.0,149.0,223,322,302.0,328,127,209,160,147,150.0,112,121,86,66,108,82.0,137,95,124,140.0,197,302.0,180.0,192.0,167,116,
15:00:00,153,239,150.0,,223,233,223.0,305,143,141,162,144,138.0,108,119,95,71,104,87.0,128,99,107,123.0,187,267.0,145.0,268.0,137,125,
16:00:00,137,172,139.0,198.0,257,270,197.0,301,258,129,149,154,105.0,121,108,95,71,95,90.0,139,107,101,118.0,193,197.0,149.0,279.0,135,133,
17:00:00,131,146,135.0,224.0,230,180,187.0,297,169,111,127,137,122.0,143,127,94,59,88,86.0,130,105,107,117.0,160,203.0,123.0,207.0,160,130,
18:00:00,127,128,93.0,166.0,125,170,170.0,197,154,97,118,108,119.0,160,118,99,85,74,82.0,100,105,107,117.0,143,409.0,143.0,243.0,125,127,
19:00:00,142,130,123.0,145.0,125,163,143.0,122,112,119,130,101,116.0,167,137,129,67,89,103.0,116,105,195,127.0,132,,150.0,197.0,131,134,129.0
20:00:00,137,143,127.0,167.0,135,207,145.0,127,160,135,180,118,122.0,177,310,89,63,113,120.0,165,130,155,142.0,260,260.0,287.0,200.0,197,150,183.0
21:00:00,153,158,167.0,257.0,310,348,170.0,180,233,143,167,119,125.0,220,308,83,65,110,157.0,140,135,144,197.0,307,191.0,,273.0,270,240,230.0
22:00:00,147,267,308.0,318.0,309,345,48.0,287,301,193,270,197,120.0,253,270,123,55,119,250.0,240,217,230,305.0,327,117.0,,305.0,304,312,315.0
23:00:00,200,240,318.0,297.0,320,342,500.0,160,315,230,277,253,122.0,260,306,60,64,165,260.0,270,280,217,316.0,358,112.0,,277.0,315,311,293.0
