Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,333,353,359.0,425.0,459,500.0,437.0,481.0,435,441,500,500.0,50.0,170.0,,310.0,,385.0,410,500,500,401,344,401,466,365.0,409,449,476,499,434
01:00:00,328,361,352.0,440.0,462,500.0,439.0,492.0,432,435,500,500.0,70.0,203.0,312.0,310.0,,379.0,420,500,500,406,342,414,452,362.0,408,429,459,494,410
02:00:00,324,374,376.0,443.0,469,500.0,424.0,500.0,418,440,500,500.0,303.0,180.0,307.0,315.0,,,393,500,479,383,328,386,438,378.0,404,407,380,472,370
03:00:00,303,382,373.0,416.0,489,493.0,419.0,500.0,388,437,500,500.0,311.0,180.0,290.0,273.0,,,380,483,443,362,321,380,371,358.0,362,401,391,456,362
04:00:00,302,369,334.0,366.0,483,469.0,420.0,500.0,393,440,500,500.0,311.0,203.0,250.0,250.0,,318.0,387,480,437,357,315,391,306,,355,388,403,464,342
05:00:00,330,374,338.0,323.0,475,437.0,419.0,490.0,413,440,500,500.0,270.0,243.0,302.0,223.0,,321.0,334,468,427,325,322,392,293,,334,384,401,484,333
06:00:00,347,392,352.0,,466,416.0,415.0,493.0,405,414,499,500.0,,177.0,273.0,260.0,,319.0,318,456,406,310,321,388,277,342.0,334,374,388,500,328
07:00:00,340,388,359.0,,459,439.0,411.0,493.0,396,411,500,483.0,,183.0,243.0,,,322.0,335,434,405,305,328,387,253,,353,407,392,420,322
08:00:00,332,378,345.0,305.0,471,439.0,420.0,490.0,410,441,496,494.0,,213.0,328.0,,157.0,320.0,340,424,411,304,328,390,250,339.0,383,431,402,399,345
09:00:00,336,344,358.0,328.0,471,455.0,423.0,500.0,433,456,500,500.0,,203.0,323.0,,200.0,327.0,362,434,436,306,328,386,270,344.0,336,426,417,378,362
10:00:00,336,319,341.0,338.0,500,500.0,426.0,474.0,452,483,500,500.0,,113.0,322.0,237.0,233.0,333.0,380,442,408,280,329,373,243,341.0,359,356,418,358,380
11:00:00,328,318,349.0,374.0,500,450.0,440.0,463.0,436,483,490,500.0,43.0,93.0,318.0,160.0,217.0,322.0,380,439,417,267,349,382,309,348.0,388,332,444,358,397
12:00:00,338,316,323.0,392.0,500,,498.0,483.0,420,478,451,477.0,177.0,127.0,332.0,,213.0,321.0,416,477,430,302,345,395,310,351.0,417,351,459,414,395
13:00:00,303,307,305.0,365.0,485,,,,366,429,429,427.0,213.0,113.0,217.0,157.0,203.0,325.0,460,489,407,305,345,418,325,354.0,447,378,500,455,396
14:00:00,257,233,233.0,324.0,465,,369.0,,338,363,358,,180.0,183.0,187.0,177.0,220.0,333.0,486,457,392,306,349,434,324,352.0,454,406,500,493,395
15:00:00,213,167,157.0,200.0,422,362.0,183.0,,293,338,351,,,163.0,177.0,177.0,287.0,332.0,500,456,402,314,362,456,320,345.0,444,428,462,500,399
16:00:00,187,163,133.0,213.0,404,356.0,315.0,243.0,306,324,376,384.0,304.0,167.0,160.0,,260.0,325.0,500,500,372,331,359,443,320,357.0,454,422,449,500,393
17:00:00,207,163,150.0,213.0,365,348.0,240.0,143.0,277,323,392,388.0,340.0,197.0,133.0,230.0,230.0,324.0,500,500,369,340,356,434,339,374.0,452,411,420,500,386
18:00:00,197,207,167.0,230.0,392,325.0,257.0,193.0,293,335,391,372.0,325.0,207.0,147.0,,270.0,325.0,500,500,386,333,354,447,365,413.0,440,409,405,500,380
19:00:00,253,277,243.0,325.0,385,321.0,260.0,310.0,312,350,424,375.0,318.0,260.0,183.0,,304.0,314.0,500,500,407,340,362,443,361,405.0,423,428,443,500,408
20:00:00,303,322,,379.0,434,333.0,322.0,348.0,345,367,442,,315.0,359.0,287.0,,308.0,336.0,500,493,393,357,373,440,348,423.0,443,457,490,500,468
21:00:00,328,340,,413.0,471,354.0,426.0,407.0,389,417,494,392.0,315.0,358.0,273.0,,,379.0,500,500,409,387,414,431,351,411.0,454,500,500,500,500
22:00:00,341,367,,421.0,494,401.0,456.0,417.0,411,456,500,369.0,270.0,406.0,307.0,,366.0,390.0,500,496,395,374,399,437,355,396.0,489,500,500,478,500
23:00:00,344,361,400.0,449.0,500,407.0,467.0,465.0,429,500,500,65.0,177.0,,322.0,,420.0,401.0,500,500,401,345,385,450,362,375.0,446,500,500,464,68
