Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,486,500,500,472.0,500,500,396,400,380.0,362,500,500.0,500.0,345,287,486,500,456.0,469.0,500,478.0,98,85,438,138,319,340,339,363,423.0,465
01:00:00,486,500,500,457.0,460,437,396,372,361.0,350,500,500.0,500.0,332,233,500,500,427.0,,500,487.0,157,93,402,163,336,352,325,332,420.0,500
02:00:00,500,500,500,453.0,500,396,387,366,357.0,341,500,,500.0,301,220,500,500,408.0,,500,481.0,140,127,370,150,338,342,328,319,388.0,500
03:00:00,500,500,500,452.0,480,380,382,358,382.0,333,500,500.0,500.0,213,237,500,500,407.0,,500,456.0,130,133,314,113,313,346,365,342,366.0,500
04:00:00,500,500,500,449.0,463,399,365,339,358.0,344,457,500.0,500.0,217,217,479,500,401.0,,500,449.0,113,130,293,140,304,374,329,339,406.0,500
05:00:00,500,500,500,397.0,464,428,365,335,366.0,336,433,454.0,500.0,167,267,476,500,405.0,,500,440.0,53,140,233,99,288,362,322,324,403.0,435
06:00:00,500,500,500,362.0,500,397,352,344,397.0,336,397,423.0,,143,302,490,500,395.0,,500,417.0,40,150,273,90,280,368,339,307,378.0,387
07:00:00,463,500,500,345.0,446,327,354,362,344.0,334,402,414.0,401.0,150,303,447,490,429.0,465.0,500,397.0,40,150,270,104,270,348,328,352,402.0,380
08:00:00,456,500,496,342.0,437,124,379,369,337.0,346,444,422.0,418.0,290,315,410,479,451.0,482.0,500,392.0,48,293,307,130,306,356,338,334,405.0,411
09:00:00,456,500,500,366.0,446,217,382,362,371.0,339,429,453.0,447.0,335,345,420,500,459.0,500.0,500,413.0,60,362,325,217,319,373,369,350,429.0,453
10:00:00,480,500,500,368.0,439,270,365,382,349.0,354,423,473.0,410.0,328,350,409,500,466.0,472.0,500,426.0,80,414,346,203,340,355,378,357,411.0,442
11:00:00,500,500,500,,449,318,362,368,334.0,416,431,500.0,437.0,304,368,434,500,500.0,480.0,500,,68,349,440,290,297,315,366,327,430.0,380
12:00:00,467,500,500,407.0,414,344,388,345,,395,467,,465.0,203,350,416,442,500.0,462.0,500,344.0,77,367,405,280,220,321,327,341,388.0,321
13:00:00,408,404,497,,334,306,379,301,183.0,363,395,387.0,414.0,143,329,442,427,398.0,384.0,454,,97,411,312,183,183,315,237,303,370.0,303
14:00:00,363,391,416,,315,303,420,230,160.0,308,320,349.0,383.0,166,243,357,431,,337.0,368,306.0,83,429,293,167,126,180,147,280,341.0,260
15:00:00,308,375,436,,307,280,410,233,177.0,243,404,,378.0,140,207,338,351,,230.0,302,362.0,113,385,180,180,111,119,132,160,306.0,180
16:00:00,280,380,366,,257,310,327,127,131.0,163,379,375.0,398.0,150,160,349,411,309.0,270.0,223,315.0,143,345,133,240,105,115,131,137,309.0,163
17:00:00,318,371,344,361.0,297,312,302,147,124.0,118,327,355.0,390.0,124,167,361,399,312.0,237.0,180,217.0,187,339,144,125,100,147,145,133,314.0,141
18:00:00,323,379,375,348.0,310,312,308,187,113.0,146,322,371.0,372.0,131,220,366,358,312.0,253.0,115,301.0,177,348,138,126,105,143,141,140,237.0,200
19:00:00,362,420,429,386.0,325,340,335,250,157.0,187,345,392.0,420.0,137,301,389,391,312.0,316.0,167,187.0,143,277,193,200,123,147,141,153,,200
20:00:00,430,441,462,411.0,345,337,358,311,307.0,324,469,453.0,444.0,220,339,410,407,372.0,369.0,395,187.0,140,365,333,309,250,305,253,270,337.0,304
21:00:00,479,500,500,480.0,396,356,397,378,365.0,404,500,449.0,404.0,302,374,434,462,397.0,500.0,465,113.0,83,390,223,338,305,339,340,337,419.0,321
22:00:00,500,500,498,500.0,443,392,425,395,401.0,500,500,500.0,367.0,342,385,500,480,451.0,500.0,483,97.0,83,424,177,324,325,342,352,416,470.0,325
23:00:00,500,500,499,500.0,500,392,435,374,382.0,500,500,500.0,345.0,321,416,500,459,466.0,500.0,479,107.0,93,426,157,325,345,345,353,420,500.0,344
