Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,111,85,92,97,302,118,85.0,,101,41,67,77.0,40.0,64.0,120,48,57,19,110,105,109,131,147,148,114,72.0,,135.0,105,66,159
01:00:00,107,70,99,213,159,89,84.0,,67,71,63,61.0,55.0,48.0,129,46,64,16,209,125,113,138,135,129,86,77.0,,141.0,119,59,163
02:00:00,83,72,101,102,125,75,85.0,,81,45,67,55.0,59.0,56.0,131,33,23,22,108,124,107,141,148,129,72,56.0,,121.0,109,58,144
03:00:00,96,68,160,101,97,60,70.0,,41,35,188,51.0,33.0,26.0,122,40,28,16,90,119,85,121,155,124,72,78.0,,102.0,75,66,97
04:00:00,63,47,119,163,78,90,52.0,,46,36,130,43.0,40.0,20.0,109,35,28,25,90,122,86,135,161,124,78,120.0,,122.0,55,59,75
05:00:00,64,62,273,64,70,80,45.0,,45,61,269,43.0,44.0,22.0,91,32,33,22,80,120,78,131,141,117,69,97.0,,157.0,72,95,85
06:00:00,72,63,96,64,89,67,40.0,,59,82,89,43.0,34.0,26.0,85,29,27,19,88,110,129,89,141,116,66,67.0,79.0,172.0,70,42,90
07:00:00,75,56,85,68,84,94,74.0,,71,56,67,40.0,43.0,29.0,19,39,16,18,84,78,112,95,118,113,78,55.0,113.0,253.0,82,41,97
08:00:00,84,80,105,62,90,100,95.0,,30,30,77,32.0,59.0,35.0,20,38,30,21,86,92,125,101,123,109,68,52.0,203.0,,78,103,108
09:00:00,102,89,243,67,133,57,147.0,111.0,56,29,70,38.0,84.0,28.0,22,45,35,20,109,100,159,105,163,203,68,57.0,180.0,,110,275,120
10:00:00,92,91,120,69,147,38,197.0,112.0,72,42,55,40.0,83.0,39.0,32,40,32,28,119,92,156,115,165,219,68,57.0,,,112,149,105
11:00:00,70,75,75,107,109,36,143.0,111.0,64,53,50,40.0,80.0,63.0,45,50,45,32,69,85,146,137,149,215,59,45.0,,,119,114,109
12:00:00,92,70,58,88,102,35,91.0,94.0,62,51,63,52.0,,110.0,52,54,35,23,69,92,141,155,129,117,51,50.0,,,126,176,117
13:00:00,90,139,73,100,133,48,,128.0,73,52,59,45.0,,,77,69,40,28,79,79,130,133,123,63,59,62.0,154.0,,134,240,126
14:00:00,89,122,77,154,136,65,,106.0,66,52,64,66.0,73.0,,54,67,35,34,76,64,131,115,135,127,76,68.0,128.0,,105,199,101
15:00:00,91,90,67,140,95,57,,128.0,62,51,89,66.0,62.0,,54,55,45,35,63,59,135,115,130,100,122,76.0,91.0,,117,184,70
16:00:00,78,56,64,79,90,72,,102.0,58,58,76,57.0,52.0,,52,64,35,38,68,69,131,119,123,80,64,48.0,72.0,,99,180,93
17:00:00,58,69,41,89,95,63,,85.0,53,57,64,,59.0,,49,41,32,39,73,85,129,75,142,94,67,33.0,57.0,134.0,103,188,119
18:00:00,83,57,69,77,88,176,,68.0,95,54,57,,72.0,84.0,47,32,43,37,55,89,116,97,111,47,28,72.0,57.0,60.0,108,181,123
19:00:00,68,74,68,91,89,60,,63.0,63,51,49,,54.0,88.0,41,35,40,40,55,75,117,119,102,61,32,,67.0,63.0,118,129,122
20:00:00,69,75,95,74,104,63,,83.0,44,46,50,,60.0,88.0,42,37,23,75,79,89,126,131,115,115,55,,89.0,90.0,86,100,126
21:00:00,79,59,61,108,109,82,,98.0,46,52,48,97.0,70.0,104.0,47,36,24,92,104,101,130,164,145,147,70,,107.0,89.0,88,103,133
22:00:00,81,75,190,107,113,85,,124.0,78,67,55,101.0,62.0,107.0,53,36,23,102,108,107,140,200,170,167,78,,115.0,103.0,115,151,170
23:00:00,101,73,92,157,108,102,,134.0,63,70,62,90.0,59.0,110.0,42,69,21,112,116,129,143,150,160,151,70,,119.0,92.0,91,200,273
