Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,318.0,328.0,130.0,,115.0,,315.0,177.0,161,193.0,302,207,174,316,123,170,217,250,306,304,342,121,193,170,127,187,310,363,315.0,311,223
01:00:00,333.0,316.0,,,120.0,332.0,,,153,200.0,308,170,181,427,119,250,302,301,346,302,378,123,167,118,111,180,303,325,351.0,303,177
02:00:00,353.0,,270.0,,,,370.0,200.0,170,230.0,311,213,171,359,137,240,311,322,267,302,406,114,167,157,143,187,320,319,311.0,316,250
03:00:00,353.0,183.0,,376.0,243.0,310.0,,,192,,309,104,196,352,277,223,260,267,257,293,383,90,147,123,163,240,203,332,,318,187
04:00:00,325.0,,180.0,,,,306.0,,261,310.0,344,93,277,369,302,203,270,308,304,316,356,89,111,138,110,323,230,322,,318,180
05:00:00,302.0,187.0,,,290.0,301.0,,,313,318.0,293,101,199,365,303,207,267,336,328,325,359,88,103,113,157,327,207,318,,308,140
06:00:00,277.0,,147.0,,,,338.0,257.0,312,250.0,253,107,240,358,267,303,316,329,318,243,357,86,107,101,240,325,287,411,,312,163
07:00:00,255.0,305.0,157.0,,233.0,297.0,357.0,230.0,306,312.0,280,183,178,363,328,301,382,382,329,287,349,86,213,107,253,309,304,493,,308,177
08:00:00,233.0,,150.0,332.0,,,403.0,311.0,303,325.0,270,147,250,387,342,257,395,358,328,267,356,101,303,133,257,314,375,499,,293,170
09:00:00,342.0,344.0,,,257.0,348.0,,,320,314.0,290,167,253,375,385,230,372,342,366,270,365,114,287,277,253,328,303,462,320.0,325,140
10:00:00,367.0,,143.0,320.0,,342.0,406.0,277.0,312,321.0,209,115,280,348,339,183,316,335,388,203,304,120,183,327,267,321,230,383,318.0,324,145
11:00:00,,379.0,,,217.0,312.0,,,243,253.0,245,116,238,335,303,293,193,187,365,174,213,118,167,303,200,250,197,301,302.0,180,163
12:00:00,177.0,358.0,78.0,342.0,,157.0,145.0,243.0,193,143.0,223,109,193,200,140,140,163,210,302,165,200,133,138,193,183,152,270,213,218.0,206,177
13:00:00,160.0,366.0,80.0,,40.0,,130.0,,148,131.0,240,119,175,240,120,129,119,152,237,132,267,107,134,155,142,134,237,181,189.0,245,155
14:00:00,,,,270.0,,111.0,117.0,152.0,153,125.0,193,123,158,260,111,120,132,144,162,138,104,139,130,137,132,133,145,270,236.0,269,149
15:00:00,,310.0,89.0,,,,,153.0,113,118.0,167,111,175,163,112,108,124,143,127,140,107,135,155,117,117,136,125,255,159.0,137,136
16:00:00,97.0,,,129.0,,93.0,101.0,122.0,122,127.0,155,115,233,141,96,103,120,137,114,145,120,140,132,115,118,130,114,158,141.0,256,159
17:00:00,,250.0,99.0,,,93.0,,120.0,120,123.0,151,127,187,134,88,112,105,126,118,155,110,137,136,115,110,130,115,161,151.0,176,147
18:00:00,86.0,,,123.0,99.0,90.0,116.0,119.0,117,111.0,155,141,143,125,97,107,107,119,111,149,119,121,121,114,153,127,111,132,171.0,137,137
19:00:00,,220.0,107.0,,,,,138.0,120,129.0,163,151,187,94,112,117,115,133,118,166,111,101,133,126,140,133,117,132,169.0,159,129
20:00:00,137.0,,,130.0,114.0,113.0,138.0,157.0,131,133.0,216,153,215,123,116,125,133,141,148,192,118,113,126,129,120,181,179,145,362.0,179,137
21:00:00,,170.0,217.0,,,,,185.0,135,169.0,169,175,280,116,139,159,243,159,183,213,126,125,134,132,113,197,131,422,422.0,220,164
22:00:00,243.0,,,187.0,,301.0,318.0,260.0,135,228.0,233,177,346,119,260,170,293,237,297,328,119,134,145,129,125,151,133,320,257.0,301,141
23:00:00,315.0,93.0,308.0,,,308.0,,157.0,148,233.0,230,183,327,127,240,304,267,267,315,287,119,167,131,125,143,223,314,305,267.0,314,147
