Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,115.0,,,127.0,129,112,103,30.0,78,94.0,,109,55,159,194,74.0,74,95,,,103,41,70,127,101,56,120.0,32,100.0,61,63
01:00:00,123.0,,,132.0,125,223,107,29.0,114,78.0,,109,42,149,163,96.0,80,103,63.0,,74,47,63,150,73,58,147.0,30,97.0,64,59
02:00:00,119.0,,,133.0,125,203,94,28.0,101,52.0,,101,50,125,147,,64,96,48.0,,20,63,77,207,50,56,170.0,25,109.0,66,56
03:00:00,107.0,,,117.0,113,147,83,18.0,72,42.0,,85,70,112,129,56.0,55,78,46.0,,34,42,44,123,51,67,87.0,23,56.0,66,61
04:00:00,82.0,,,108.0,121,233,79,25.0,74,46.0,,80,70,107,115,55.0,58,80,48.0,,31,38,50,92,39,61,78.0,26,41.0,50,77
05:00:00,85.0,,,107.0,57,240,71,30.0,107,44.0,,67,72,94,111,,63,73,25.0,,33,33,42,127,39,48,83.0,27,33.0,30,72
06:00:00,100.0,,,111.0,32,38,56,34.0,113,52.0,,66,68,88,112,58.0,57,69,30.0,,33,21,44,116,35,69,100.0,25,66.0,31,67
07:00:00,107.0,,,,33,40,65,41.0,109,59.0,,86,83,84,111,47.0,59,75,,,38,32,41,127,32,177,95.0,28,,31,123
08:00:00,105.0,,,,38,40,68,42.0,97,55.0,,35,95,90,101,46.0,72,80,,,47,57,48,183,42,105,109.0,25,,40,183
09:00:00,101.0,104.0,,123.0,36,116,77,47.0,119,74.0,,37,114,107,86,65.0,73,84,,,37,73,79,123,52,72,127.0,25,,36,157
10:00:00,97.0,109.0,,129.0,44,233,99,64.0,89,90.0,,40,111,116,92,70.0,81,108,,,74,170,63,109,73,70,45.0,32,,32,52
11:00:00,108.0,140.0,151.0,130.0,45,183,86,72.0,68,103.0,,40,112,117,119,72.0,102,96,,,123,79,69,79,69,67,40.0,38,,35,40
12:00:00,103.0,125.0,151.0,141.0,60,143,48,73.0,85,108.0,55.0,44,107,129,91,73.0,107,67,,,70,113,77,84,89,74,38.0,32,,47,83
13:00:00,100.0,134.0,68.0,156.0,72,115,43,77.0,79,89.0,69.0,48,105,152,74,80.0,84,48,,,47,68,68,85,113,64,,35,,39,72
14:00:00,101.0,217.0,151.0,137.0,85,116,40,85.0,74,79.0,58.0,35,85,163,64,84.0,84,50,,,33,38,81,72,105,72,,95,,34,86
15:00:00,111.0,135.0,48.0,129.0,91,94,52,78.0,75,67.0,59.0,57,111,155,72,81.0,92,81,,,63,39,62,75,113,101,40.0,92,,39,70
16:00:00,110.0,127.0,267.0,123.0,88,101,33,61.0,58,68.0,57.0,63,141,167,94,72.0,83,85,,,28,35,64,72,75,47,42.0,92,,39,81
17:00:00,118.0,125.0,167.0,111.0,207,111,39,61.0,47,81.0,73.0,53,159,163,105,69.0,83,89,,,24,27,62,62,48,54,44.0,83,,37,97
18:00:00,127.0,127.0,169.0,118.0,80,104,41,,59,69.0,68.0,44,174,179,109,84.0,57,81,,,28,30,58,75,58,58,42.0,90,,45,95
19:00:00,129.0,131.0,165.0,109.0,69,101,31,61.0,58,88.0,73.0,56,159,184,100,96.0,73,70,,,33,45,63,105,55,85,39.0,99,,36,95
20:00:00,,253.0,157.0,113.0,74,90,35,55.0,77,92.0,63.0,36,167,184,89,69.0,123,69,,,43,50,78,105,64,103,52.0,94,,38,75
21:00:00,,183.0,50.0,105.0,88,114,40,57.0,73,105.0,109.0,44,155,185,101,97.0,113,94,,,65,46,95,55,73,113,52.0,86,,48,66
22:00:00,,65.0,136.0,116.0,99,111,34,77.0,91,,117.0,57,165,189,108,104.0,94,105,,,69,63,115,80,62,110,45.0,90,,65,66
23:00:00,,,131.0,140.0,50,97,30,67.0,94,,101.0,62,171,196,79,100.0,103,70,,,48,57,127,85,66,143,35.0,103,62.0,74,74
