Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,137.0,217,260,187,213,193,255,237.0,253,257.0,220,325,410,328.0,341,332,389,328,309,253,345.0,364,438,406,404,416,353,352.0,,445.0,424.0
01:00:00,147.0,173,257,237,177,217,287,213.0,243,315.0,207,319,401,314.0,369,334,346,323,340,315,345.0,355,474,362,405,411,397,350.0,478.0,430.0,449.0
02:00:00,141.0,200,287,233,170,213,267,203.0,297,302.0,243,311,382,309.0,399,362,410,311,348,303,340.0,348,432,379,406,420,402,335.0,491.0,439.0,467.0
03:00:00,129.0,180,217,250,187,167,230,223.0,250,280.0,250,337,351,325.0,384,358,355,304,321,213,348.0,342,429,382,403,411,403,316.0,467.0,406.0,465.0
04:00:00,123.0,193,280,233,187,170,230,217.0,233,237.0,250,328,349,,379,376,338,332,332,312,,342,432,384,416,414,414,310.0,447.0,409.0,469.0
05:00:00,,233,293,193,180,207,240,297.0,233,223.0,270,341,358,357.0,382,348,333,318,332,302,339.0,338,420,396,424,421,405,355.0,418.0,401.0,472.0
06:00:00,143.0,260,277,253,207,207,304,170.0,220,240.0,287,374,391,376.0,397,349,339,318,339,312,336.0,324,407,398,423,421,410,373.0,411.0,406.0,443.0
07:00:00,133.0,177,220,230,187,267,341,177.0,270,220.0,273,336,380,370.0,408,351,344,329,355,322,328.0,357,409,385,411,424,411,365.0,417.0,441.0,444.0
08:00:00,146.0,153,280,253,220,257,329,257.0,297,273.0,267,346,383,401.0,427,310,365,337,375,327,,426,447,404,402,409,409,366.0,433.0,436.0,441.0
09:00:00,181.0,181,287,297,197,243,319,302.0,260,315.0,315,367,406,406.0,426,328,416,353,390,358,371.0,500,472,434,421,414,392,367.0,432.0,454.0,443.0
10:00:00,193.0,197,200,197,250,260,306,305.0,287,327.0,315,362,349,350.0,429,258,391,355,375,340,411.0,441,100,434,401,455,396,365.0,474.0,461.0,422.0
11:00:00,193.0,194,237,217,260,235,253,311.0,312,277.0,306,406,321,359.0,420,310,373,329,338,348,338.0,401,484,447,414,411,362,387.0,453.0,430.0,426.0
12:00:00,194.0,188,189,233,195,199,246,263.0,240,260.0,302,417,305,314.0,352,292,340,315,337,322,310.0,500,422,445,390,385,352,410.0,345.0,422.0,388.0
13:00:00,164.0,174,160,165,178,171,195,260.0,255,260.0,260,371,303,315.0,401,213,310,172,310,307,197.0,461,349,380,363,447,340,372.0,321.0,352.0,318.0
14:00:00,162.0,149,135,142,151,141,171,178.0,195,250.0,164,307,253,237.0,161,215,280,159,213,237,131.0,406,319,348,332,408,277,348.0,327.0,323.0,223.0
15:00:00,145.0,145,134,123,152,135,159,144.0,189,163.0,153,297,193,200.0,111,200,200,123,157,147,118.0,339,302,327,306,362,167,346.0,304.0,197.0,151.0
16:00:00,144.0,142,119,119,134,131,145,,152,131.0,149,257,230,213.0,119,182,150,121,150,124,105.0,187,183,302,220,304,125,337.0,302.0,160.0,
17:00:00,139.0,146,112,125,147,131,143,149.0,135,149.0,159,170,237,203.0,105,163,130,118,152,108,107.0,220,147,233,207,139,129,318.0,280.0,115.0,141.0
18:00:00,127.0,142,121,146,145,130,149,,144,,171,170,203,213.0,103,133,145,133,135,127,111.0,207,160,233,139,157,139,,,,152.0
19:00:00,142.0,157,134,146,141,177,149,163.0,159,177.0,181,217,217,,131,165,183,157,183,159,124.0,233,200,290,240,237,185,,303.0,177.0,220.0
20:00:00,181.0,187,169,174,171,188,183,,185,205.0,213,290,311,309.0,185,183,243,189,230,233,187.0,332,303,325,309,339,203,,411.0,253.0,290.0
21:00:00,219.0,223,186,181,185,205,243,195.0,230,223.0,273,310,327,319.0,290,280,301,205,308,360,388.0,395,421,351,391,312,309,,423.0,312.0,318.0
22:00:00,216.0,302,203,217,203,250,243,191.0,273,230.0,270,408,336,348.0,274,360,297,310,345,396,405.0,426,389,394,440,328,322,,437.0,356.0,365.0
23:00:00,224.0,253,237,193,217,273,267,186.0,243,293.0,270,424,340,353.0,315,408,320,325,318,398,336.0,404,396,405,417,332,340,,448.0,422.0,401.0
