Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,500,500,500,466,422.0,379,273,302,240,345,362,426,500.0,418.0,315.0,363,342,318.0,373,325,455.0,500.0,304,273,348,444,454,177,315,339.0,327
01:00:00,500,500,500,486,392.0,358,180,290,183,334,362,400,457.0,408.0,318.0,340,301,237.0,329,308,396.0,486.0,250,213,316,460,466,207,325,323.0,319
02:00:00,494,500,500,500,382.0,328,267,312,157,332,351,429,420.0,369.0,318.0,337,287,290.0,325,305,399.0,430.0,203,213,316,484,481,180,323,,318
03:00:00,459,500,472,492,391.0,320,237,312,163,328,328,413,419.0,345.0,183.0,297,310,260.0,332,240,423.0,421.0,183,193,297,472,483,180,180,,314
04:00:00,446,500,443,490,382.0,351,197,302,113,305,328,378,427.0,308.0,183.0,304,197,301.0,315,220,416.0,416.0,180,223,304,430,481,177,193,222.0,301
05:00:00,449,500,440,500,358.0,358,240,44,123,267,321,363,428.0,280.0,270.0,308,170,304.0,334,240,407.0,376.0,220,197,315,423,467,170,203,198.0,250
06:00:00,444,500,446,468,369.0,357,308,38,143,237,333,373,416.0,,,310,280,302.0,308,280,408.0,331.0,304,187,328,434,453,170,183,197.0,308
07:00:00,449,500,422,424,365.0,344,287,42,157,223,332,370,426.0,262.0,,322,257,290.0,297,250,423.0,320.0,250,203,328,447,457,260,203,223.0,312
08:00:00,474,450,378,425,390.0,351,307,36,230,243,337,383,401.0,296.0,233.0,302,308,273.0,277,290,420.0,353.0,253,273,329,465,408,38,253,223.0,309
09:00:00,500,444,426,439,,363,322,42,277,240,344,391,435.0,,257.0,314,243,243.0,310,304,423.0,333.0,290,267,355,455,435,273,320,302.0,302
10:00:00,500,469,500,471,404.0,416,312,217,260,260,344,433,380.0,243.0,277.0,319,230,237.0,307,312,451.0,332.0,257,213,349,480,433,53,267,324.0,311
11:00:00,500,426,413,465,404.0,450,319,48,260,314,325,420,382.0,293.0,257.0,325,233,277.0,312,320,,329.0,203,200,334,431,443,223,157,321.0,315
12:00:00,410,439,314,456,387.0,403,321,55,267,348,322,376,,325.0,320.0,320,293,,311,328,,373.0,141,163,329,344,454,308,98,305.0,334
13:00:00,395,407,170,426,369.0,374,223,332,257,340,315,336,,337.0,319.0,318,325,375.0,309,344,406.0,397.0,131,140,314,308,447,315,87,293.0,325
14:00:00,339,260,90,378,309.0,423,308,55,223,333,237,311,,354.0,328.0,328,335,375.0,303,346,367.0,375.0,130,139,213,302,401,325,103,143.0,197
15:00:00,320,223,73,361,233.0,240,333,45,127,315,177,250,,328.0,340.0,352,321,351.0,302,338,334.0,,124,127,157,270,366,315,93,170.0,163
16:00:00,316,267,84,309,197.0,200,349,351,160,297,133,302,309.0,183.0,312.0,47,273,253.0,302,352,328.0,363.0,117,121,130,160,362,317,69,105.0,94
17:00:00,322,303,79,240,207.0,307,353,354,120,240,133,187,44.0,130.0,303.0,52,200,223.0,293,358,420.0,344.0,116,307,163,200,423,322,80,91.0,83
18:00:00,332,253,104,240,302.0,325,342,354,120,150,167,220,331.0,143.0,180.0,57,223,197.0,260,358,390.0,328.0,101,118,177,157,327,328,91,95.0,99
19:00:00,351,311,123,332,315.0,315,342,357,197,237,243,302,363.0,207.0,273.0,68,277,297.0,307,348,375.0,328.0,113,135,223,157,312,273,107,96.0,95
20:00:00,460,407,358,355,355.0,311,361,346,302,333,325,348,407.0,267.0,338.0,392,316,329.0,320,363,383.0,338.0,157,197,303,302,363,253,144,145.0,167
21:00:00,500,500,408,383,375.0,311,348,320,325,382,421,423,406.0,316.0,362.0,411,328,368.0,338,378,417.0,386.0,203,250,340,393,378,315,203,277.0,302
22:00:00,500,500,425,400,367.0,273,352,306,334,367,437,500,357.0,314.0,361.0,400,348,384.0,358,419,434.0,429.0,267,322,439,404,349,316,308,303.0,319
23:00:00,500,500,452,432,384.0,257,318,253,336,342,444,500,401.0,325.0,365.0,374,414,382.0,342,463,495.0,392.0,301,346,451,480,233,257,324,323.0,315
