Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,127,153,173,212.0,220.0,389,352,159,233,289,303,305.0,314,280,196,289.0,69.0,133.0,,315.0,149,160.0,127,109,301,230,290,311,316,232
01:00:00,102,156,177,163.0,185.0,368,284,171,253,206,301,315.0,270,206,188,315.0,72.0,141.0,,245.0,116,157.0,115,111,312,325,312,410,324,209
02:00:00,91,139,149,168.0,125.0,325,248,156,230,186,327,328.0,240,205,175,371.0,79.0,131.0,,195.0,79,131.0,117,95,327,385,324,370,355,185
03:00:00,111,149,143,139.0,123.0,177,234,139,171,142,250,223.0,200,189,145,227.0,113.0,148.0,,166.0,68,115.0,129,90,321,396,342,399,344,184
04:00:00,116,160,207,160.0,311.0,217,450,119,200,109,142,153.0,153,186,197,239.0,68.0,203.0,,183.0,64,112.0,107,88,311,437,354,490,380,192
05:00:00,115,230,250,207.0,187.0,280,456,127,167,103,140,145.0,160,179,344,226.0,80.0,180.0,,152.0,73,101.0,114,75,321,446,404,500,408,267
06:00:00,138,217,277,160.0,140.0,328,127,122,131,115,157,177.0,207,171,325,243.0,73.0,307.0,,167.0,167,109.0,80,90,388,441,454,500,404,302
07:00:00,135,293,253,147.0,167.0,319,120,122,159,183,213,203.0,257,143,348,,73.0,329.0,,217.0,336,177.0,88,102,366,457,487,500,446,410
08:00:00,192,302,302,233.0,310.0,319,129,150,186,151,187,,388,192,341,,88.0,328.0,,297.0,217,306.0,101,131,349,480,483,500,480,421
09:00:00,268,323,312,257.0,321.0,315,129,157,167,160,197,430.0,430,270,197,,315.0,358.0,250.0,314.0,230,304.0,107,133,325,464,500,500,500,424
10:00:00,199,253,187,280.0,260.0,316,151,303,157,185,179,449.0,432,323,221,,,359.0,406.0,342.0,170,119.0,118,101,290,423,500,500,464,452
11:00:00,239,301,140,270.0,172.0,307,203,250,137,190,175,324.0,388,223,246,,,122.0,341.0,237.0,99,100.0,169,118,137,361,455,470,357,405
12:00:00,184,150,148,270.0,170.0,310,260,207,136,215,245,209.0,318,175,301,,,177.0,217.0,174.0,103,121.0,149,126,142,257,325,315,323,312
13:00:00,183,129,189,149.0,181.0,311,255,135,146,232,175,189.0,257,153,399,,,231.0,152.0,159.0,104,129.0,137,140,147,234,243,241,202,268
14:00:00,346,104,229,153.0,201.0,368,197,133,148,172,152,,167,143,238,,,187.0,131.0,159.0,110,146.0,111,144,156,201,198,200,171,254
15:00:00,276,95,197,134.0,197.0,358,207,131,159,145,127,214.0,159,114,196,,94.0,144.0,131.0,,112,158.0,113,148,159,196,206,179,186,230
16:00:00,204,96,145,125.0,204.0,300,189,120,138,146,137,158.0,138,121,159,,149.0,126.0,126.0,127.0,108,173.0,115,138,166,185,166,185,160,209
17:00:00,256,94,126,,134.0,272,190,115,102,131,116,135.0,177,145,175,150.0,100.0,138.0,133.0,152.0,111,,102,138,173,196,185,172,156,190
18:00:00,263,96,96,,,252,135,105,96,111,111,143.0,147,134,147,92.0,92.0,136.0,122.0,205.0,104,180.0,93,137,166,183,177,153,250,188
19:00:00,166,90,85,,201.0,272,129,79,102,115,127,137.0,155,149,167,130.0,87.0,120.0,130.0,223.0,102,161.0,95,124,130,150,171,157,431,171
20:00:00,161,107,124,140.0,227.0,304,151,126,130,141,147,168.0,167,174,175,410.0,70.0,,152.0,461.0,90,110.0,72,96,101,152,181,159,418,189
21:00:00,142,130,159,159.0,328.0,301,167,159,179,233,179,191.0,199,185,186,153.0,99.0,,226.0,271.0,88,121.0,95,91,153,179,221,182,500,404
22:00:00,129,167,228,188.0,404.0,285,164,171,196,239,244,375.0,238,189,226,63.0,127.0,,228.0,118.0,101,146.0,127,117,167,189,280,218,407,309
23:00:00,127,159,202,223.0,413.0,300,147,212,298,280,354,407.0,245,183,257,57.0,165.0,,271.0,114.0,140,142.0,131,253,213,243,310,273,336,312
