Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
00:00:00,489.0,499.0,462,363,67.0,302,348.0,373.0,,448.0,367,406,364,466.0,,369,346,422,415.0,368,371,350,345,480.0,443,183,428.0,290
01:00:00,450.0,435.0,456,387,,345,354.0,395.0,,463.0,355,395,370,446.0,,371,359,408,,358,355,373,374,500.0,420,318,278.0,311
02:00:00,500.0,407.0,444,376,,310,348.0,404.0,,450.0,357,376,371,443.0,,378,367,398,,378,367,382,414,456.0,417,339,139.0,177
03:00:00,500.0,403.0,430,427,,260,357.0,416.0,,428.0,352,360,348,434.0,,371,376,460,,334,375,366,376,,418,357,114.0,148
04:00:00,476.0,405.0,393,407,,243,337.0,393.0,,429.0,386,337,358,430.0,356.0,374,363,374,,319,388,358,372,,449,332,,175
05:00:00,464.0,398.0,390,395,,277,336.0,359.0,,432.0,355,338,330,403.0,356.0,382,356,344,,302,371,363,365,,443,342,124.0,172
06:00:00,460.0,401.0,387,402,,321,344.0,378.0,,447.0,354,353,303,376.0,357.0,370,368,306,,250,374,449,333,,437,339,160.0,170
07:00:00,465.0,413.0,388,382,,329,319.0,414.0,,449.0,364,350,294,368.0,357.0,368,387,314,361.0,297,407,436,336,,351,387,219.0,170
08:00:00,479.0,429.0,434,371,,307,,408.0,,,391,353,273,367.0,,374,422,314,378.0,237,407,366,356,,340,438,,164
09:00:00,486.0,460.0,402,373,,306,,391.0,,477.0,402,402,249,397.0,,393,439,326,388.0,253,499,409,378,,352,404,295.0,200
10:00:00,500.0,487.0,398,382,253.0,304,,436.0,,413.0,409,476,310,406.0,,410,441,319,428.0,243,473,384,403,493.0,423,386,271.0,223
11:00:00,450.0,500.0,370,388,311.0,324,337.0,462.0,,329.0,374,498,348,390.0,,413,428,315,463.0,305,446,353,315,460.0,455,346,296.0,277
12:00:00,446.0,496.0,345,346,220.0,253,337.0,438.0,,273.0,333,473,379,357.0,67.0,363,441,310,493.0,325,386,315,290,405.0,354,304,248.0,228
13:00:00,,496.0,243,334,183.0,160,308.0,333.0,,203.0,313,431,409,357.0,150.0,352,378,297,407.0,308,369,384,211,405.0,316,171,206.0,187
14:00:00,394.0,380.0,240,308,250.0,133,233.0,250.0,,155.0,319,379,434,,144.0,299,318,262,308.0,332,325,315,175,364.0,243,153,197.0,195
15:00:00,253.0,307.0,217,237,118.0,116,177.0,273.0,302.0,177.0,317,346,453,,149.0,217,272,250,310.0,280,253,200,129,175.0,183,150,205.0,191
16:00:00,243.0,186.0,197,160,124.0,100,157.0,207.0,207.0,149.0,291,319,339,,181.0,236,198,262,191.0,150,233,159,156,175.0,168,160,153.0,179
17:00:00,163.0,260.0,213,127,95.0,95,121.0,183.0,200.0,190.0,233,404,311,,166.0,306,183,220,237.0,137,200,146,149,175.0,183,151,140.0,171
18:00:00,,203.0,213,123,79.0,105,157.0,250.0,149.0,268.0,206,434,311,237.0,231.0,283,228,162,297.0,133,207,155,149,133.0,153,135,144.0,163
19:00:00,358.0,293.0,253,137,101.0,109,167.0,297.0,155.0,290.0,228,424,294,237.0,329.0,311,238,282,220.0,177,213,187,185,,175,175,142.0,169
20:00:00,374.0,,318,81,133.0,180,277.0,,344.0,312.0,273,408,357,314.0,332.0,330,267,324,273.0,207,257,240,197,,219,155,149.0,181
21:00:00,432.0,424.0,355,55,217.0,280,315.0,,430.0,394.0,342,407,425,,337.0,383,322,404,322.0,315,319,220,266,244.0,256,188,278.0,181
22:00:00,446.0,458.0,371,68,253.0,316,356.0,,427.0,403.0,374,386,444,,359.0,388,379,471,349.0,348,342,328,340,265.0,250,251,239.0,195
23:00:00,460.0,446.0,358,63,253.0,338,367.0,,,414.0,397,368,452,,374.0,350,413,452,372.0,413,362,345,443,360.0,223,407,349.0,175
