Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,179,240,133,443,303.0,167,364,297,322,96,328,315,174,293,217.0,306,304.0,400.0,414,203,274,287,339.0,270,166,140,305,403.0,,,
01:00:00,175,160,126,411,305.0,217,307,183,324,53,323,306,163,273,243.0,257,287.0,352.0,408,177,304,311,299.0,266,161,197,321,355.0,,,
02:00:00,165,240,121,412,309.0,217,301,187,374,47,325,304,301,342,180.0,220,260.0,330.0,266,302,257,309,288.0,177,131,220,183,297.0,,,
03:00:00,169,163,127,375,312.0,217,250,148,388,33,308,237,301,321,233.0,159,273.0,304.0,407,338,246,243,251.0,107,113,113,170,243.0,,,
04:00:00,220,180,240,382,307.0,213,297,141,399,69,312,193,315,328,213.0,177,230.0,287.0,334,344,312,340,183.0,81,127,197,171,220.0,,,
05:00:00,187,230,293,375,312.0,253,361,135,372,72,315,183,333,332,217.0,267,217.0,,318,338,394,167,308.0,80,114,143,163,233.0,,,
06:00:00,177,207,311,380,355.0,310,368,133,339,95,310,187,329,293,,253,257.0,,331,332,416,134,302.0,92,108,167,233,290.0,,,
07:00:00,177,233,329,372,350.0,361,395,302,340,183,306,250,331,230,,280,336.0,,307,342,426,126,232.0,213,107,213,240,327.0,,,
08:00:00,220,230,316,400,354.0,375,405,315,342,253,308,302,342,203,,277,410.0,,248,407,500,131,157.0,336,127,147,384,335.0,,,
09:00:00,315,260,352,401,372.0,365,430,318,339,250,334,307,356,257,,396,403.0,429.0,267,407,474,122,446.0,362,141,143,471,340.0,,,
10:00:00,318,197,335,426,345.0,260,407,318,328,220,358,138,443,301,88.0,409,388.0,414.0,356,423,311,143,239.0,392,139,217,420,,,,
11:00:00,308,196,388,463,280.0,301,318,312,290,165,328,193,436,310,340.0,305,403.0,411.0,301,390,197,156,235.0,348,137,197,325,,,,
12:00:00,179,199,349,335,200.0,290,273,306,253,181,217,190,365,310,293.0,277,,398.0,288,339,162,197,295.0,270,139,137,134,,,,
13:00:00,149,221,293,345,178.0,302,200,293,213,166,165,167,309,307,155.0,270,,416.0,272,306,143,256,304.0,174,153,119,119,,,,
14:00:00,160,244,166,208,,180,167,253,192,160,128,165,200,187,152.0,299,,308.0,151,207,157,296,408.0,165,125,105,125,120.0,,,
15:00:00,199,263,135,229,172.0,145,168,223,196,194,139,115,160,116,144.0,360,295.0,266.0,148,163,145,378,272.0,164,103,101,115,126.0,,497.0,
16:00:00,162,205,129,206,195.0,137,173,199,174,179,151,146,129,112,163.0,389,249.0,223.0,159,153,135,187,188.0,171,97,117,119,125.0,,,169.0
17:00:00,137,182,125,139,162.0,103,157,193,177,153,127,127,121,115,224.0,384,240.0,216.0,92,153,155,179,206.0,194,109,115,115,124.0,,,160.0
18:00:00,142,164,121,109,163.0,107,177,193,211,122,126,101,105,112,279.0,342,241.0,217.0,87,142,181,181,182.0,173,97,111,119,123.0,,,173.0
19:00:00,139,137,133,120,143.0,135,184,189,268,174,146,109,95,109,219.0,322,289.0,206.0,138,145,172,170,395.0,155,99,109,118,,,,168.0
20:00:00,151,149,133,229,164.0,160,179,215,298,155,163,139,116,140,171.0,329,328.0,235.0,172,162,215,171,,155,109,118,174,,,,162.0
21:00:00,187,135,282,407,161.0,171,188,297,314,167,234,100,137,152,177.0,308,408.0,274.0,189,190,204,193,,144,113,135,201,,,,185.0
22:00:00,151,131,449,402,177.0,257,211,301,456,183,273,99,156,203,172.0,348,,361.0,181,212,237,315,,174,117,165,356,,,,157.0
23:00:00,200,125,432,280,180.0,444,243,316,134,309,260,107,243,210,240.0,369,369.0,409.0,185,352,257,282,175.0,175,109,287,405,,,,141.0
