Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,467,193,356,325,192,146,100,170,253,100.0,160.0,65,123,319,72,144,230,70,77,61,84,89.0,180,114.0,140,123,210.0,170.0,102.0,105.0,
01:00:00,296,222,290,260,155,127,83,306,148,84.0,183.0,53,88,314,71,143,200,61,70,57,75,73.0,160,103.0,144,146,177.0,190.0,101.0,77.0,
02:00:00,129,171,211,183,150,120,81,253,122,92.0,160.0,56,55,207,47,140,243,42,65,60,150,73.0,170,96.0,131,142,173.0,142.0,95.0,53.0,
03:00:00,126,171,149,185,167,113,75,302,116,70.0,147.0,58,61,103,45,130,237,46,73,57,78,,123,104.0,105,130,170.0,117.0,56.0,49.0,
04:00:00,189,164,165,163,163,105,62,290,92,,147.0,61,81,78,42,150,315,35,80,54,38,,107,,83,105,317.0,90.0,36.0,191.0,
05:00:00,112,157,181,153,168,86,70,280,91,,,51,61,92,50,167,328,37,150,51,37,,447,,134,108,118.0,,35.0,193.0,
06:00:00,159,151,299,140,267,104,68,280,88,,,60,53,197,103,233,327,35,42,50,36,,352,,135,126,108.0,,30.0,94.0,
07:00:00,243,151,388,157,253,115,73,305,102,,,140,48,320,89,297,314,34,36,47,52,,421,,107,149,90.0,,36.0,52.0,
08:00:00,232,152,415,371,159,120,121,280,108,,,109,48,273,166,306,302,41,50,51,44,,462,,126,151,88.0,,39.0,55.0,83.0
09:00:00,245,173,483,332,153,133,121,170,116,,,119,77,110,500,302,328,58,53,43,35,,426,,125,173,105.0,,48.0,62.0,124.0
10:00:00,210,253,468,175,142,146,118,105,115,3.0,101.0,92,65,67,201,302,338,45,200,31,31,,429,,111,141,114.0,,56.0,58.0,107.0
11:00:00,376,290,436,141,159,145,127,124,120,0.0,109.0,96,87,95,153,293,309,64,67,31,30,72.0,306,,122,158,115.0,,,,100.0
12:00:00,350,215,403,155,168,155,110,147,158,,168.0,130,82,115,175,200,197,86,60,42,40,72.0,500,,129,183,117.0,55.0,69.0,,96.0
13:00:00,292,187,239,138,169,153,138,159,197,,203.0,109,95,132,172,207,163,67,52,54,46,84.0,500,,130,234,146.0,47.0,81.0,74.0,117.0
14:00:00,275,134,183,107,183,157,141,179,242,3.0,273.0,168,116,149,169,169,162,64,52,157,70,94.0,500,,135,214,167.0,74.0,,75.0,134.0
15:00:00,240,120,129,97,208,165,152,222,265,97.0,100.0,186,125,145,172,161,142,61,60,120,145,112.0,500,,141,195,175.0,100.0,102.0,84.0,162.0
16:00:00,248,107,119,80,201,145,164,228,275,140.0,246.0,104,121,153,163,241,131,53,55,88,110,127.0,479,,141,163,179.0,128.0,119.0,89.0,154.0
17:00:00,280,344,141,81,180,415,176,188,229,173.0,158.0,430,86,153,164,265,117,53,55,80,74,118.0,401,124.0,156,167,,129.0,133.0,97.0,128.0
18:00:00,221,134,250,91,168,401,182,176,128,169.0,244.0,175,91,138,222,189,129,46,55,78,73,104.0,308,124.0,150,167,,108.0,142.0,107.0,120.0
19:00:00,150,89,129,95,167,85,149,173,112,143.0,170.0,142,100,115,107,147,144,63,60,88,70,75.0,240,102.0,111,140,,92.0,137.0,500.0,137.0
20:00:00,159,105,141,107,171,83,107,102,89,113.0,131.0,141,76,111,91,97,148,72,58,130,79,80.0,135,109.0,75,79,78.0,107.0,105.0,,141.0
21:00:00,401,123,147,115,177,90,123,180,127,129.0,131.0,137,83,119,187,115,157,81,74,150,80,100.0,116,121.0,104,101,114.0,113.0,105.0,,149.0
22:00:00,172,141,151,129,153,97,126,240,88,177.0,173.0,142,123,107,167,129,157,109,71,260,89,111.0,121,141.0,135,121,159.0,116.0,100.0,,166.0
23:00:00,162,223,257,285,148,102,130,217,70,140.0,96.0,130,230,79,187,250,89,81,71,157,92,124.0,124,145.0,151,159,163.0,114.0,79.0,,166.0
