Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,500,424,414,500,436,372,382.0,458.0,203.0,403,447,312,307.0,380.0,250.0,,348.0,,310,353,359,328,297,253,443,401,363.0,500,464,464
01:00:00,500,429,500,500,423,356,,452.0,160.0,423,447,416,345.0,384.0,250.0,,361.0,,321,379,345,308,273,143,436,386,,418,459,469
02:00:00,500,428,500,496,391,357,406.0,444.0,197.0,433,444,446,369.0,387.0,207.0,,342.0,,323,362,346,302,273,193,450,391,374.0,426,460,457
03:00:00,500,426,500,491,385,358,430.0,424.0,110.0,431,456,457,382.0,380.0,197.0,,359.0,,344,358,353,311,257,200,401,391,372.0,420,453,447
04:00:00,500,420,500,487,370,353,459.0,410.0,,418,456,460,396.0,369.0,170.0,,386.0,,357,374,350,318,270,233,369,375,370.0,439,467,438
05:00:00,500,423,500,480,358,342,440.0,405.0,250.0,404,460,453,392.0,,170.0,,388.0,,366,386,337,318,260,257,378,371,373.0,407,480,432
06:00:00,496,431,500,479,365,352,434.0,413.0,290.0,378,451,430,393.0,357.0,147.0,,375.0,,375,362,329,318,273,312,370,392,371.0,402,469,425
07:00:00,483,427,0,480,379,372,421.0,434.0,316.0,342,454,420,388.0,354.0,187.0,,378.0,,378,358,334,316,297,302,338,230,361.0,405,469,400
08:00:00,483,420,500,484,382,382,395.0,428.0,297.0,332,463,408,379.0,356.0,162.0,,370.0,,361,391,318,311,311,207,351,234,388.0,400,459,382
09:00:00,472,403,500,500,387,380,407.0,426.0,319.0,366,478,405,375.0,345.0,168.0,15.0,354.0,,336,398,320,309,308,270,328,272,388.0,379,447,383
10:00:00,473,454,500,500,382,359,419.0,411.0,320.0,323,476,413,387.0,340.0,223.0,341.0,345.0,420.0,338,397,341,307,318,250,304,304,383.0,402,449,416
11:00:00,461,467,0,0,375,335,388.0,395.0,233.0,271,399,362,350.0,302.0,293.0,322.0,341.0,401.0,370,398,355,297,324,257,312,277,383.0,370,456,443
12:00:00,466,447,500,469,373,318,357.0,354.0,167.0,193,333,334,318.0,270.0,267.0,334.0,328.0,336.0,336,375,379,293,307,250,301,256,359.0,432,463,435
13:00:00,457,429,500,479,366,314,325.0,438.0,133.0,280,318,311,250.0,197.0,293.0,237.0,180.0,320.0,324,318,345,207,233,163,303,249,338.0,349,349,407
14:00:00,401,403,500,492,362,312,324.0,392.0,163.0,306,230,160,,139.0,180.0,140.0,148.0,237.0,129,315,253,153,174,163,311,205,305.0,323,348,371
15:00:00,354,396,0,465,361,315,273.0,404.0,,167,146,153,193.0,137.0,150.0,109.0,155.0,140.0,150,223,145,143,157,147,259,184,233.0,304,339,336
16:00:00,280,371,361,460,354,318,217.0,440.0,,157,123,131,200.0,,162.0,125.0,135.0,131.0,125,183,149,143,153,160,203,189,200.0,220,257,311
17:00:00,307,357,373,453,354,322,183.0,400.0,160.0,131,123,126,167.0,194.0,173.0,129.0,,135.0,138,170,147,127,133,177,183,174,193.0,193,306,280
18:00:00,335,385,389,468,351,324,257.0,410.0,163.0,138,140,157,187.0,270.0,163.0,137.0,,134.0,133,230,151,139,145,156,250,160,207.0,243,293,230
19:00:00,353,413,0,500,354,334,305.0,393.0,183.0,177,159,213,,,197.0,147.0,,177.0,192,277,243,172,164,281,308,226,292.0,400,349,306
20:00:00,431,449,448,454,365,353,384.0,,273.0,213,178,257,306.0,406.0,240.0,164.0,,257.0,250,352,223,179,182,245,358,350,368.0,429,332,361
21:00:00,452,459,500,434,368,388,438.0,441.0,346.0,287,207,304,341.0,354.0,257.0,193.0,,277.0,308,335,270,200,270,307,371,340,413.0,411,376,366
22:00:00,424,438,500,423,372,380,451.0,454.0,420.0,342,233,346,338.0,312.0,,273.0,,307.0,321,388,304,302,316,405,367,367,394.0,428,376,368
23:00:00,416,425,0,441,384,370,436.0,420.0,403.0,441,280,325,356.0,287.0,,312.0,,308.0,332,401,316,325,280,451,413,378,405.0,425,449,399
