Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
00:00:00,444.0,346,362,301,362.0,456,417,372,463,344.0,,230,342,362,357,381,337.0,500,233.0,287,0,428,257.0,341,316.0,,113,
01:00:00,,345,332,180,363.0,456,346,384,437,288.0,,213,341,352,400,380,339.0,426,220.0,290,195,414,308.0,381,327.0,,115,
02:00:00,,344,333,127,354.0,475,383,431,372,,,243,379,409,342,370,332.0,370,237.0,213,219,394,312.0,371,342.0,,77,
03:00:00,,316,332,78,297.0,500,416,345,371,,,200,382,412,404,368,306.0,346,233.0,150,214,358,293.0,365,361.0,,73,
04:00:00,,357,335,78,223.0,500,421,324,403,,,237,401,416,325,366,315.0,366,243.0,197,0,411,233.0,361,339.0,,78,
05:00:00,,349,345,68,180.0,485,368,316,387,,,180,385,423,257,370,,355,217.0,237,183,401,260.0,353,353.0,,77,
06:00:00,,345,341,67,,477,311,280,120,,,243,413,388,302,367,,375,,217,146,373,260.0,358,365.0,,76,
07:00:00,,340,351,83,,477,305,297,80,,250.0,217,376,384,312,412,,375,,203,182,319,280.0,365,375.0,,79,
08:00:00,,327,352,92,103.0,486,303,319,78,,243.0,220,339,358,325,456,,353,,250,0,315,143.0,380,,47.0,103,92.0
09:00:00,,331,344,73,98.0,500,304,375,120,,270.0,287,342,321,340,455,,363,,267,206,319,307.0,388,,43.0,96,
10:00:00,,349,325,87,120.0,410,302,408,107,,293.0,250,340,207,321,457,,384,,253,191,322,277.0,400,,50.0,94,
11:00:00,,342,273,75,223.0,335,290,348,160,,237.0,233,331,183,213,391,,395,,230,188,253,277.0,361,,48.0,88,102.0
12:00:00,,345,213,58,250.0,325,197,322,157,187.0,213.0,223,303,117,163,348,310.0,345,,187,186,226,273.0,331,,52.0,74,108.0
13:00:00,,342,302,77,321.0,303,133,297,115,159.0,170.0,213,130,101,75,356,257.0,217,,203,158,189,277.0,318,,54.0,62,107.0
14:00:00,413.0,348,316,73,345.0,167,108,270,114,200.0,153.0,131,112,101,99,306,193.0,119,,160,138,186,,315,,61.0,71,99.0
15:00:00,404.0,312,314,60,387.0,177,127,203,95,150.0,145.0,107,118,121,115,170,147.0,103,120.0,169,127,196,,270,,70.0,84,82.0
16:00:00,361.0,303,308,74,345.0,127,148,170,78,120.0,141.0,97,134,105,123,140,123.0,101,112.0,167,124,196,,181,,64.0,70,76.0
17:00:00,345.0,308,311,63,230.0,119,157,196,70,120.0,127.0,104,133,99,117,114,111.0,95,114.0,170,124,185,240.0,0,174.0,63.0,64,74.0
18:00:00,324.0,325,305,58,108.0,151,167,270,85,119.0,120.0,109,117,96,113,119,102.0,122,117.0,135,120,194,213.0,0,,62.0,66,77.0
19:00:00,327.0,375,310,107,95.0,207,221,207,105,119.0,118.0,127,213,101,111,127,129.0,145,123.0,131,135,213,267.0,0,,60.0,81,92.0
20:00:00,361.0,382,323,233,203.0,322,306,304,131,135.0,141.0,157,270,185,140,150,171.0,171,137.0,154,164,185,302.0,0,,93.0,100,132.0
21:00:00,385.0,395,324,290,391.0,369,419,338,203,,163.0,223,306,213,193,240,281.0,186,163.0,184,309,164,320.0,253,,124.0,111,126.0
22:00:00,380.0,398,318,315,482.0,470,378,392,270,,217.0,346,341,223,448,311,458.0,163,302.0,189,452,175,335.0,415,,127.0,116,133.0
23:00:00,364.0,405,315,318,463.0,404,348,432,293,,260.0,333,466,332,488,325,493.0,213,297.0,166,440,180,384.0,325,,129.0,130,157.0
