Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,48,194,159.0,,162,267,226,232,342.0,222.0,388.0,287,199,289,322,408,235,321,320,170,126,150.0,109,141,145,302,334,79,322,160
01:00:00,81,226,181.0,,119,147,241,315,445.0,267.0,325.0,253,355,315,272,354,206,261,289,150,137,146.0,104,114,127,344,223,73,187,172
02:00:00,84,156,288.0,144.0,131,80,183,290,428.0,257.0,370.0,250,318,303,385,310,211,243,318,126,184,227.0,263,109,119,318,240,84,180,170
03:00:00,101,260,157.0,129.0,149,32,129,177,328.0,223.0,417.0,237,302,297,290,283,219,262,289,120,101,137.0,137,101,108,223,356,80,180,115
04:00:00,120,203,180.0,,122,52,119,171,305.0,230.0,426.0,306,304,270,297,261,212,265,182,123,100,,52,145,112,197,287,116,126,30
05:00:00,103,220,223.0,277.0,109,42,127,159,302.0,237.0,445.0,316,305,237,329,199,189,222,480,133,103,,77,167,120,167,273,109,135,47
06:00:00,92,203,230.0,92.0,118,47,122,170,309.0,187.0,452.0,303,308,307,398,189,250,200,123,92,95,124.0,59,123,108,160,273,127,150,55
07:00:00,84,250,280.0,64.0,133,40,127,163,356.0,150.0,414.0,237,311,345,367,293,248,163,436,90,101,127.0,57,133,111,170,220,107,187,66
08:00:00,74,316,318.0,67.0,138,70,168,290,374.0,302.0,385.0,260,240,408,395,308,288,204,259,111,119,119.0,105,139,122,160,237,149,267,107
09:00:00,72,237,332.0,42.0,145,92,138,304,412.0,412.0,370.0,260,253,407,410,325,402,226,194,122,119,118.0,139,193,134,213,325,140,297,96
10:00:00,80,133,123.0,57.0,150,73,133,250,413.0,346.0,376.0,223,246,411,289,356,407,212,204,107,105,0.0,97,336,126,164,199,243,186,94
11:00:00,79,112,105.0,50.0,135,50,159,163,368.0,312.0,411.0,201,233,369,262,204,311,232,173,167,119,97.0,81,346,133,143,164,220,195,96
12:00:00,107,105,97.0,41.0,97,45,102,109,243.0,184.0,310.0,177,213,255,268,177,163,195,177,138,127,101.0,80,408,135,138,163,183,246,95
13:00:00,140,97,91.0,46.0,95,109,127,78,,121.0,167.0,184,156,164,202,161,168,219,169,148,141,102.0,85,272,123,131,131,220,256,111
14:00:00,108,91,101.0,53.0,42,115,111,88,,352.0,120.0,252,0,133,105,119,145,0,161,135,135,108.0,72,189,117,141,130,188,243,101
15:00:00,95,101,96.0,73.0,28,61,104,63,,115.0,149.0,163,0,124,100,114,34,0,182,131,150,112.0,177,151,97,147,118,131,237,105
16:00:00,91,64,101.0,,28,77,88,75,,113.0,130.0,148,146,115,115,103,123,163,150,138,157,123.0,68,115,109,138,149,130,195,91
17:00:00,103,57,86.0,,30,77,67,80,,101.0,151.0,171,126,101,114,104,126,149,173,123,137,109.0,79,104,133,165,118,137,188,96
18:00:00,129,57,81.0,,32,97,94,67,,,,137,141,107,109,104,123,147,174,123,137,163.0,74,118,156,194,109,143,161,100
19:00:00,141,69,109.0,,23,109,101,80,91.0,,,127,183,105,123,125,152,157,170,155,152,117.0,70,147,177,162,118,181,164,122
20:00:00,101,103,129.0,90.0,59,135,126,137,115.0,145.0,,149,196,118,117,171,195,294,193,210,232,157.0,98,177,326,181,500,182,152,101
21:00:00,52,143,151.0,123.0,94,196,156,175,147.0,199.0,,166,259,150,191,134,212,234,276,111,241,199.0,127,130,279,227,385,273,131,107
22:00:00,67,174,,149.0,108,201,170,187,148.0,216.0,227.0,160,233,221,284,230,226,245,300,110,197,240.0,204,123,252,254,113,358,151,92
23:00:00,86,162,,162.0,147,234,209,288,209.0,221.0,276.0,167,279,292,432,256,255,283,237,123,151,193.0,153,130,321,309,83,366,151,80
