Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,358,407,362,358,351.0,,398,423.0,395.0,351,367,469,426,427.0,411,500,500,432,339,338,362,484,500.0,500,418,399,430,396,372,392,418
01:00:00,345,390,395,365,,,344,429.0,403.0,368,357,500,482,423.0,404,500,500,404,323,324,382,463,500.0,500,434,378,431,367,395,376,401
02:00:00,362,375,406,384,,,336,,408.0,369,355,500,487,404.0,369,451,423,382,324,304,376,474,500.0,500,440,375,464,361,410,387,410
03:00:00,361,374,385,374,,,362,,392.0,365,350,500,471,374.0,362,429,396,366,305,322,378,474,486.0,500,436,382,434,328,376,370,392
04:00:00,365,356,370,378,,,363,,382.0,358,345,474,453,359.0,388,436,382,339,312,303,365,433,472.0,500,405,378,372,332,375,378,371
05:00:00,372,337,358,365,,,352,,401.0,342,345,459,462,325.0,375,435,380,329,328,308,366,414,475.0,483,401,379,325,332,375,367,354
06:00:00,382,335,362,363,337.0,344.0,349,386.0,365.0,357,354,460,450,329.0,375,450,370,323,312,315,346,413,472.0,429,392,359,320,328,363,348,359
07:00:00,387,339,365,362,331.0,324.0,354,365.0,350.0,358,358,456,452,327.0,382,440,371,320,319,316,363,413,451.0,406,289,350,315,319,362,350,361
08:00:00,373,348,371,367,316.0,332.0,358,338.0,344.0,351,362,460,437,241.0,380,435,372,339,328,319,375,423,449.0,409,273,362,336,315,356,354,366
09:00:00,403,357,359,397,328.0,337.0,375,346.0,352.0,346,353,469,435,292.0,395,440,401,344,333,328,395,401,483.0,447,282,371,358,312,401,357,361
10:00:00,401,361,351,397,334.0,337.0,422,355.0,361.0,341,352,500,471,,409,464,409,351,332,333,410,407,,449,350,426,382,315,418,359,380
11:00:00,439,345,372,400,318.0,325.0,434,365.0,362.0,342,358,499,469,43.0,407,422,423,342,327,324,439,410,,473,366,436,405,348,416,388,408
12:00:00,422,336,387,322,348.0,319.0,423,332.0,,325,391,397,88,263.0,380,423,420,280,322,316,446,438,487.0,450,413,424,437,348,420,415,362
13:00:00,391,354,385,334,,304.0,422,321.0,,310,318,311,67,302.0,378,424,301,237,302,309,408,383,431.0,406,277,430,477,340,449,407,399
14:00:00,390,323,308,230,270.0,287.0,351,304.0,306.0,243,257,320,393,318.0,345,416,253,217,187,273,335,371,378.0,416,348,474,500,357,433,415,399
15:00:00,365,293,233,270,193.0,230.0,342,,240.0,193,213,336,316,203.0,207,297,223,187,161,243,329,428,463.0,345,336,333,457,345,500,417,403
16:00:00,325,287,167,230,157.0,270.0,329,,207.0,160,217,331,270,159.0,200,177,217,254,142,200,315,448,395.0,305,308,333,493,350,500,439,431
17:00:00,349,243,125,187,130.0,290.0,335,,187.0,133,141,325,273,159.0,167,133,230,233,125,193,308,451,305.0,243,293,315,477,418,475,420,436
18:00:00,375,301,217,193,150.0,260.0,315,,223.0,151,181,324,273,177.0,150,149,353,200,139,177,277,435,323.0,250,306,305,467,357,469,401,418
19:00:00,390,301,320,243,193.0,267.0,311,,297.0,186,369,368,333,240.0,257,179,359,220,172,240,341,453,360.0,342,314,356,435,363,458,422,410
20:00:00,432,318,332,327,260.0,287.0,327,,358.0,223,403,412,425,318.0,409,341,403,328,257,334,453,493,474.0,422,332,399,417,356,459,420,391
21:00:00,434,332,340,354,323.0,318.0,358,349.0,401.0,332,412,373,430,422.0,449,385,406,333,334,422,469,500,478.0,436,351,494,397,392,451,418,401
22:00:00,413,341,355,338,329.0,334.0,373,359.0,356.0,368,484,463,439,406.0,0,446,430,341,389,425,500,500,493.0,425,408,479,400,361,439,413,402
23:00:00,414,333,368,356,332.0,375.0,387,370.0,352.0,366,434,382,429,421.0,443,480,422,350,355,379,500,500,500.0,426,370,466,392,354,416,407,371
