Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,63,70,117,159,84.0,77,48,92.0,90.0,,56,97,72.0,,,,,,,,,118,65,,,88,84,99,72,45,99.0
01:00:00,74,75,137,149,78.0,73,68,104.0,65.0,,168,85,64.0,,,,,,,,,105,65,,,80,86,125,62,50,94.0
02:00:00,70,75,122,127,93.0,57,66,105.0,60.0,,55,111,62.0,,,,,,,,,81,65,,,51,79,74,64,50,75.0
03:00:00,59,48,97,113,64.0,57,48,72.0,38.0,,29,70,62.0,,,,,,,,,62,90,,,34,70,40,44,29,89.0
04:00:00,65,70,70,92,78.0,58,65,70.0,60.0,,60,67,55.0,,,,,,,,,64,62,,,50,107,50,55,50,74.0
05:00:00,66,70,70,101,81.0,72,70,65.0,60.0,,60,68,78.0,,,,,,,,,64,67,,,45,92,50,44,50,73.0
06:00:00,70,74,70,84,75.0,67,68,65.0,60.0,,65,66,55.0,,,,,,,,,56,64,,,40,68,79,48,50,74.0
07:00:00,70,70,73,81,75.0,74,70,66.0,60.0,,73,68,50.0,,,,,,,,,58,65,,,40,74,84,50,50,80.0
08:00:00,72,70,66,103,75.0,63,75,72.0,60.0,,66,56,55.0,,,,,,,,,70,65,,,36,95,115,55,50,94.0
09:00:00,65,70,68,105,75.0,44,75,75.0,65.0,,66,64,66.0,,,,,,,,,77,66,,,38,115,81,50,55,109.0
10:00:00,65,70,79,108,74.0,57,74,75.0,65.0,,67,66,69.0,,,,,,,,,79,65,,,44,102,105,50,59,100.0
11:00:00,65,70,115,120,70.0,36,74,74.0,65.0,,60,70,96.0,,,,,,,,,80,65,64.0,,54,115,117,54,52,102.0
12:00:00,65,65,120,117,68.0,36,75,70.0,,,60,85,107.0,,,,,,,,74.0,79,65,67.0,,58,107,102,52,68,88.0
13:00:00,66,65,123,163,72.0,30,74,78.0,,103.0,73,83,100.0,,,,,,,,0.0,83,70,69.0,96.0,56,117,62,50,68,
14:00:00,65,65,130,107,109.0,30,75,,,140.0,80,58,97.0,,,,,,,,74.0,91,65,59.0,65.0,55,114,65,45,66,
15:00:00,65,65,112,95,,30,75,,60.0,62.0,100,62,73.0,,,,,,,,,92,66,51.0,72.0,55,100,66,45,66,
16:00:00,65,72,109,179,,84,89,88.0,62.0,48.0,83,58,73.0,,,,,,,,,80,68,56.0,74.0,55,78,68,46,58,
17:00:00,65,79,113,74,,30,84,,,58.0,69,73,69.0,,,,,,,,,81,69,77.0,,60,81,80,45,46,
18:00:00,65,81,123,121,,35,78,,65.0,48.0,63,50,68.0,,,,,,,,80.0,64,66,85.0,,72,97,83,48,53,
19:00:00,65,91,129,111,,42,92,94.0,,45.0,68,50,,,,,,,,,85.0,65,65,81.0,74.0,88,88,86,54,66,
20:00:00,70,100,145,119,70.0,56,85,101.0,,54.0,70,56,,,,,,,,,101.0,74,73,89.0,90.0,105,95,69,56,67,
21:00:00,76,107,172,112,60.0,57,90,102.0,,56.0,72,64,,,,,,,,,115.0,83,86,88.0,100.0,86,72,65,60,75,
22:00:00,77,111,164,111,64.0,62,86,98.0,,74.0,84,72,,,,,,,,,133.0,81,85,74.0,95.0,72,75,64,54,79,
23:00:00,80,124,168,107,74.0,63,95,100.0,,65.0,99,75,,,,,,,,,137.0,68,79,,95.0,78,100,70,48,92,
