Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00:00,78,85.0,123.0,,141.0,233,311.0,29.0,270.0,,270.0,30.0,25.0,55.0,102.0,60.0,,65.0,52,72,101.0,108,45.0,219,234.0,,194,306.0,346.0,465.0,340
01:00:00,70,93.0,98.0,,,253,311.0,35.0,230.0,,318.0,50.0,50.0,68.0,60.0,62.0,,45.0,38,46,50.0,74,70.0,222,211.0,,224,433.0,,445.0,412
02:00:00,75,,92.0,,,302,323.0,40.0,260.0,,324.0,300.0,58.0,65.0,75.0,36.0,,30.0,40,42,54.0,60,65.0,185,244.0,,58,380.0,,445.0,412
03:00:00,68,,95.0,,,267,303.0,5.0,287.0,,333.0,326.0,5.0,5.0,4.0,5.0,,5.0,5,5,5.0,5,5.0,196,273.0,,245,349.0,,447.0,364
04:00:00,83,,113.0,,,237,,54.0,303.0,,331.0,361.0,35.0,55.0,76.0,30.0,,22.0,30,50,46.0,95,80.0,183,232.0,,198,424.0,,369.0,344
05:00:00,97,,85.0,,,240,,28.0,307.0,,320.0,346.0,34.0,48.0,,35.0,,24.0,30,50,40.0,80,72.0,175,201.0,,188,332.0,,,101
06:00:00,143,127.0,123.0,,140.0,243,,22.0,287.0,,,366.0,,50.0,75.0,40.0,,21.0,30,55,40.0,78,60.0,170,204.0,199.0,179,310.0,,374.0,300
07:00:00,130,95.0,157.0,187.0,187.0,207,,25.0,172.0,,280.0,420.0,,46.0,75.0,42.0,,22.0,36,58,46.0,46,68.0,163,195.0,181.0,215,354.0,,311.0,285
08:00:00,127,95.0,130.0,130.0,155.0,157,,155.0,125.0,,250.0,408.0,55.0,56.0,56.0,38.0,,22.0,40,52,55.0,56,66.0,167,192.0,179.0,251,339.0,376.0,336.0,312
09:00:00,160,113.0,183.0,150.0,167.0,178,166.0,137.0,137.0,,197.0,440.0,52.0,35.0,15.0,42.0,,22.0,46,36,68.0,32,46.0,209,248.0,215.0,293,334.0,439.0,437.0,416
10:00:00,170,107.0,133.0,107.0,190.0,199,165.0,152.0,183.0,,,,55.0,,15.0,38.0,,21.0,44,36,45.0,36,35.0,224,300.0,224.0,283,322.0,,500.0,46
11:00:00,130,180.0,,,181.0,171,171.0,159.0,157.0,,,227.0,28.0,26.0,13.0,22.0,,20.0,36,26,46.0,34,30.0,189,298.0,273.0,300,428.0,,473.0,316
12:00:00,92,130.0,,123.0,174.0,199,133.0,161.0,181.0,,170.0,285.0,24.0,38.0,13.0,16.0,28.0,18.0,34,25,36.0,35,25.0,175,189.0,,239,260.0,,369.0,313
13:00:00,73,93.0,,157.0,169.0,389,118.0,326.0,175.0,,148.0,245.0,25.0,57.0,14.0,16.0,30.0,19.0,30,25,28.0,30,24.0,146,192.0,181.0,222,173.0,169.0,301.0,277
14:00:00,68,68.0,65.0,141.0,157.0,190,122.0,189.0,167.0,500.0,151.0,295.0,,42.0,15.0,,,35.0,30,24,23.0,26,20.0,131,148.0,141.0,150,,195.0,258.0,274
15:00:00,75,65.0,47.0,121.0,145.0,175,120.0,165.0,151.0,65.0,141.0,199.0,25.0,40.0,16.0,,,36.0,28,21,23.0,24,40.0,112,126.0,160.0,135,,253.0,258.0,301
16:00:00,63,55.0,55.0,119.0,133.0,153,113.0,129.0,143.0,67.0,131.0,25.0,20.0,,17.0,,30.0,35.0,30,32,22.0,22,,89,134.0,115.0,148,138.0,212.0,34.0,312
17:00:00,63,40.0,47.0,129.0,135.0,143,124.0,124.0,152.0,185.0,26.0,20.0,19.0,,21.0,,26.0,35.0,30,28,24.0,23,,92,135.0,40.0,167,28.0,289.0,217.0,380
18:00:00,63,47.0,50.0,50.0,126.0,150,118.0,133.0,167.0,189.0,25.0,20.0,20.0,,25.0,,38.0,42.0,36,36,32.0,27,,102,151.0,112.0,167,210.0,261.0,289.0,400
19:00:00,75,55.0,57.0,137.0,138.0,172,141.0,135.0,232.0,202.0,26.0,24.0,28.0,72.0,35.0,,55.0,55.0,48,56,52.0,28,,129,169.0,139.0,228,196.0,318.0,289.0,354
20:00:00,103,65.0,75.0,148.0,235.0,283,156.0,,239.0,204.0,34.0,28.0,32.0,103.0,32.0,,86.0,,64,58,65.0,33,169.0,184,,172.0,275,306.0,416.0,406.0,402
21:00:00,133,143.0,93.0,142.0,249.0,422,170.0,,238.0,195.0,,42.0,34.0,110.0,46.0,,101.0,,65,64,,39,169.0,191,,181.0,301,350.0,408.0,123.0,420
22:00:00,92,123.0,110.0,145.0,249.0,378,182.0,,,204.0,46.0,65.0,54.0,116.0,56.0,,92.0,,82,88,,46,163.0,232,,245.0,305,404.0,451.0,409.0,406
23:00:00,77,107.0,95.0,161.0,322.0,312,221.0,308.0,,233.0,457.0,35.0,70.0,124.0,60.0,,64.0,,100,107,,45,200.0,245,,186.0,293,413.0,467.0,346.0,410
