Date,Day number,AQI
00:00:00,1,486.0
01:00:00,1,486.0
02:00:00,1,500.0
03:00:00,1,500.0
04:00:00,1,500.0
05:00:00,1,500.0
06:00:00,1,500.0
07:00:00,1,463.0
08:00:00,1,456.0
09:00:00,1,456.0
10:00:00,1,480.0
11:00:00,1,500.0
12:00:00,1,467.0
13:00:00,1,408.0
14:00:00,1,363.0
15:00:00,1,308.0
16:00:00,1,280.0
17:00:00,1,318.0
18:00:00,1,323.0
19:00:00,1,362.0
20:00:00,1,430.0
21:00:00,1,479.0
22:00:00,1,500.0
23:00:00,1,500.0
00:00:00,2,500.0
01:00:00,2,500.0
02:00:00,2,500.0
03:00:00,2,500.0
04:00:00,2,500.0
05:00:00,2,500.0
06:00:00,2,500.0
07:00:00,2,500.0
08:00:00,2,500.0
09:00:00,2,500.0
10:00:00,2,500.0
11:00:00,2,500.0
12:00:00,2,500.0
13:00:00,2,404.0
14:00:00,2,391.0
15:00:00,2,375.0
16:00:00,2,380.0
17:00:00,2,371.0
18:00:00,2,379.0
19:00:00,2,420.0
20:00:00,2,441.0
21:00:00,2,500.0
22:00:00,2,500.0
23:00:00,2,500.0
00:00:00,3,500.0
01:00:00,3,500.0
02:00:00,3,500.0
03:00:00,3,500.0
04:00:00,3,500.0
05:00:00,3,500.0
06:00:00,3,500.0
07:00:00,3,500.0
08:00:00,3,496.0
09:00:00,3,500.0
10:00:00,3,500.0
11:00:00,3,500.0
12:00:00,3,500.0
13:00:00,3,497.0
14:00:00,3,416.0
15:00:00,3,436.0
16:00:00,3,366.0
17:00:00,3,344.0
18:00:00,3,375.0
19:00:00,3,429.0
20:00:00,3,462.0
21:00:00,3,500.0
22:00:00,3,498.0
23:00:00,3,499.0
00:00:00,4,472.0
01:00:00,4,457.0
02:00:00,4,453.0
03:00:00,4,452.0
04:00:00,4,449.0
05:00:00,4,397.0
06:00:00,4,362.0
07:00:00,4,345.0
08:00:00,4,342.0
09:00:00,4,366.0
10:00:00,4,368.0
11:00:00,4,
12:00:00,4,407.0
13:00:00,4,
14:00:00,4,
15:00:00,4,
16:00:00,4,
17:00:00,4,361.0
18:00:00,4,348.0
19:00:00,4,386.0
20:00:00,4,411.0
21:00:00,4,480.0
22:00:00,4,500.0
23:00:00,4,500.0
00:00:00,5,500.0
01:00:00,5,460.0
02:00:00,5,500.0
03:00:00,5,480.0
04:00:00,5,463.0
05:00:00,5,464.0
06:00:00,5,500.0
07:00:00,5,446.0
08:00:00,5,437.0
09:00:00,5,446.0
10:00:00,5,439.0
11:00:00,5,449.0
12:00:00,5,414.0
13:00:00,5,334.0
14:00:00,5,315.0
15:00:00,5,307.0
16:00:00,5,257.0
17:00:00,5,297.0
18:00:00,5,310.0
19:00:00,5,325.0
20:00:00,5,345.0
21:00:00,5,396.0
22:00:00,5,443.0
23:00:00,5,500.0
00:00:00,6,500.0
01:00:00,6,437.0
02:00:00,6,396.0
03:00:00,6,380.0
04:00:00,6,399.0
05:00:00,6,428.0
06:00:00,6,397.0
07:00:00,6,327.0
08:00:00,6,124.0
09:00:00,6,217.0
10:00:00,6,270.0
11:00:00,6,318.0
12:00:00,6,344.0
13:00:00,6,306.0
